dateTime,Kp,Dst,dens,velo,Pdyn,ByIMF,BzIMF,mep06,mep05,mep01,me03,Lval,mlt,lat,lon,dens_lag0,dens_lag1,dens_lag2,dens_lag3,dens_lag4,dens_lag5,dens_lag6,velo_lag0,velo_lag1,velo_lag2,velo_lag3,velo_lag4,velo_lag5,velo_lag6,Pdyn_lag0,Pdyn_lag1,Pdyn_lag2,Pdyn_lag3,Pdyn_lag4,Pdyn_lag5,Pdyn_lag6,ByIMF_lag0,ByIMF_lag1,ByIMF_lag2,ByIMF_lag3,ByIMF_lag4,ByIMF_lag5,ByIMF_lag6,BzIMF_lag0,BzIMF_lag1,BzIMF_lag2,BzIMF_lag3,BzIMF_lag4,BzIMF_lag5,BzIMF_lag6
2006-12-18 13:40:31.629,1.70000005,-26.350905,9.0,444.68806221,3.56243095,5.4353178,0.890821801,1.375,0.0,5915.5,5.0625,7.48,23.03266667,-46.35,129.33,9.035090633852725,8.12108574232318,6.305271530948227,5.510543002472192,4.050904886633175,2.829819001258847,3.4245474046671136,444.4036199997236,432.5090499998988,420.9472850000303,420.13178749948185,404.1581449999089,396.21911750006575,405.32454750003456,3.571845117516416,3.056770410800124,2.231317892815904,1.9514989662084719,1.3365893985670123,0.891664007537879,1.1271006698659813,5.353540670028744,1.917624467762578,-2.0973642345258865,-2.332454748746631,-2.107907314411618,-1.4350904845233576,-0.8456334672599378,0.7912670243735422,0.5227375148725093,2.9912670721398227,0.8728167680143145,0.04299775788935445,-0.8298189996878174,-1.1973642583765909
2006-12-18 14:14:07.618,1.98433838,-27.47089889,8.64682584,448.13735333,3.47050272,4.56957855,3.54819914,0.625,0.0,6695.5,3.5,7.88,20.404,73.08,90.95,8.723281180559677,8.947089687057272,7.0650785769277595,6.0412697395731785,4.982539209987726,3.1708988805020226,3.005820160540578,447.94179777773303,440.8835955557331,423.7089888895383,423.5873033334004,413.53174166699955,396.23809000058446,401.9391572223676,3.501084896761818,3.479444459076879,2.550766854992431,2.1653174974245935,1.7094972542126505,1.0065870807022659,0.9752645870455497,4.5695785368672075,4.341533663362442,-0.6343932332610005,-2.2293651302134108,-2.376455117239455,-1.711904522483432,-1.3470898524300403,3.2304213803643758,-0.44074156249462115,2.722752844915098,1.7592584850956392,0.5648146212972737,-0.44100560055785315,-1.0058202376482261
2006-12-18 14:29:35.616,2.23767116,-27.98645333,8.26016,449.15068444,3.32872526,2.89402662,5.19486214,1.25,0.0,3.25,2.125,7.11,11.13866667,59.07,299.83,8.310837526723768,8.998645328161146,7.683743811846108,6.195936048302765,5.291871950351155,3.6864532634202734,2.9027093085404796,448.9729066664873,442.9458133331516,428.86453333330957,422.04064000026904,417.3983999996592,400.87807999997864,398.5880533339163,3.3489962963368822,3.5335776855675354,2.847210685092832,2.2039840438775506,1.8512747448478355,1.199920012708409,0.9262869154443112,2.8940266156886163,4.934421262078482,0.860714643140899,-2.1520319758486175,-2.3506773581463962,-1.9439040470366917,-1.398645309159529,4.905973263131168,0.2810346780395141,1.4338667032428352,2.481034725661284,0.7452586814308075,-0.15745065768690392,-0.9027093395539684
2006-12-18 15:07:11.611,2.70000005,-28.39598777,7.92280859,451.75501528,3.23573375,-0.62779469,7.67247527,1.5,0.0,1.0,1.75,7.46,9.088,-71.46,248.56,7.835697467354234,8.908173224599345,8.923978098891425,6.787740620967704,5.9719352506093575,4.843870176911643,2.939783908018292,451.5994597222976,447.4795677778381,439.9591355556343,421.39783888919044,424.2806483332429,411.7983791668143,394.15805500027136,3.19746707487272,3.569263839378998,3.455177379666117,2.4178757189520073,2.147983888959166,1.6459406209405425,0.9199189488014573,-0.6277946940020502,5.3207022763648535,4.075751418844252,-1.3046267278516688,-2.2640323746953213,-2.3880108837713228,-1.6079027614473562,7.672475270793923,2.4792976580861383,-0.7643025707945128,3.3005403587775906,1.4356974769038582,0.48392436922230075,-0.568118849888209
2006-12-18 15:22:07.609,2.70000005,-27.38265778,8.63213963,453.02167778,3.54733279,-1.10068252,6.57736663,2.875,0.0,3304.8125,59.5,6.88,21.85066667,-45.53,103.57,8.532584848113903,8.50995179634856,8.973755955439408,7.385072525985471,6.1212682268637995,5.142536248086693,3.437560515312965,452.8439013888833,448.47512111110666,441.95024222208446,426.3756055555332,422.78731833334007,415.5317041664084,398.63804499997985,3.503599788939571,3.4224196847445407,3.507443939154771,2.704097326002557,2.185317103352975,1.7828292220608732,1.1065852136242116,-1.1006825139532022,3.7029281320558067,4.648194573580759,0.13892559351981193,-2.1893658865681003,-2.3631220148369336,-1.8319022851686215,6.5773666398022765,4.097071765307934,-0.06741521973506837,2.0560986625220985,2.1325848279937256,0.6581462069871619,-0.2943416847228472
2006-12-18 15:55:27.604,2.70000005,-25.12488445,10.21258107,455.84389444,4.24159823,-2.1562354,4.13292838,1.125,0.0,5759.5,15.875,7.74,20.51933333,72.18,65.7,10.088136620814105,7.621064917714804,9.084867212635814,8.718402314118364,6.454600673897023,5.809201407085292,4.548668716241854,455.6216722223416,450.6973377778733,446.394675555773,437.48668888936646,419.45399333319006,423.86501666707437,408.6380200004298,4.186931557021105,3.094642641625622,3.624110335356804,3.342984670679743,2.2686501488840634,2.08838405348829,1.5232508717565671,-2.1562354008651123,0.0918260982304151,5.925969130525321,3.3611397338405657,-2.0226996630514886,-2.307566518693166,-2.331901088172892,4.132928385831623,7.708173716349304,1.4881364867922438,-0.721672237163431,3.688136534466711,1.04703413361899,0.3167678953266204
2006-12-18 16:11:11.602,2.70000005,-23.11644,11.83039246,454.69410722,4.86625821,-0.88732995,3.27764285,0.875,0.0,0.875,1.5,7.99,10.584,58.26,273.96,11.512614735153816,8.022357146642035,8.801510532556058,8.937310983086913,6.9477345954567316,6.011933744231614,4.923867195993002,454.69410722210324,451.932780555463,447.7462244443704,440.4924488890249,422.731122221852,423.8806633334444,412.79834166692166,4.744524883818042,3.2794640169969007,3.529931970893337,3.4691768572106563,2.4945395169376376,2.157983504417742,1.6826059173793384,-1.1806632855476153,-0.7544566070287548,4.887385199210085,4.229078999015252,-0.9179745645586088,-2.244033127884193,-2.381344457567555,3.277642850053261,7.379152947144762,2.912614725307173,-0.5776428993396129,2.9672195176652103,1.6223571482446708,0.5305892870860257
2006-12-18 16:48:15.597,2.70000005,-18.45867335,15.61482732,450.3696725,6.31598794,2.60599504,1.54786899,0.875,0.0,1.5,1.125,7.04,9.582,-70.54,224.78,15.528160673534279,9.752131153334616,7.813068074686732,9.06086673218329,8.430397693103245,6.382599518643243,5.6651990393626335,450.3696725001393,455.0216624998578,450.21732999988626,445.4346599998408,435.0866499994312,420.17400500017067,422.06498749970154,6.282787950661704,4.03932913439054,3.165443807189555,3.5989099224358734,3.2049824230641892,2.250649874375965,2.022382975434744,2.5259950475643276,-1.9282317127586708,0.871838726730358,5.649964663916956,2.665128461481485,-2.0587002406783785,-2.3195667303087344,1.5478689907255614,4.66093692445096,6.928161105731044,1.152131033632771,-0.12166250037427417,3.352131081292569,0.9630327703291217
2006-12-18 17:02:39.595,2.68226727,-17.26599167,16.37441259,449.47898749,6.60375519,3.98207046,1.14369625,1.75,0.0,6571.5,72.6875,6.6,21.03,-53.89,79.74,16.37441259602168,10.588157787440073,7.624129452946244,9.029069253490798,8.90886604124466,6.606396649794931,5.926599257789971,449.39898749975544,455.68967638878706,451.22165972230465,447.17732777766906,439.3546555556719,419.88663888921855,424.7340083334964,6.603755189361745,4.390386741364463,3.1045282554183484,3.6138442509334667,3.43930977678472,2.3309817117476603,2.1366498997617733,3.9349593509813428,-2.034008285562333,-0.4842306980580754,5.811842269883888,3.9019634224580537,-1.742874724240534,-2.2867003711050145,1.119696252040545,3.675870509945019,8.004939259978793,1.9881576758264212,-0.9758705761858129,3.678340367778016,1.2241294713810857
2006-12-18 17:36:47.590,2.45471221,-20.67931667,10.91309292,454.87897501,4.47042706,7.16206308,2.76369253,1.875,0.0,6579.5,36.25,7.8,20.616,71.27,40.44,10.91309292155322,14.285925994737461,9.217014561327334,8.118849036479356,9.022643975266172,7.971726432673923,6.267931703535912,454.51897499974467,451.7074638889693,454.0660972220804,449.4528777776643,443.90575555546366,431.2643888883215,421.32068333350355,4.470427064366238,5.806916486091625,3.804260026847196,3.2782005391288296,3.558776173480589,2.9852023909494187,2.2219829433815836,6.950063073848325,1.3793167142814688,-1.56511691745535,2.1140735707541802,5.210404645271508,1.5566727483726455,-2.116034148232044,2.6556925291639804,2.082985537144581,5.501834341556158,5.685926290185286,0.6170144644312994,0.833902800185609,2.817014512067737
