dateTime,Kp,Dst,dens,velo,Pdyn,ByIMF,BzIMF,mep06,mep05,mep01,me03,Lval,mlt,lat,lon
2006-12-03 01:04:34.847,1.0,-11.48316334,5.892365463759909,367.69461444446074,1.5954192357761459,-3.1137699624020225,0.20000000298023224,0.125,0.0,0.0,0.375,4.09,9.736,64.77,144.52
2006-12-03 01:38:42.843,1.0,-13.74093555,5.835476740237728,365.4190633334388,1.5612859338461293,-4.7066555773572585,0.20000000298023224,0.25,0.0,0.0,0.375,4.01,8.07,45.2,105.22
2006-12-03 01:53:06.841,1.0,-14.66537777,5.81147681867797,364.4590655555233,1.546885952300111,-5.3786539532337585,0.20000000298023224,0.25,0.0,2.625,0.625,4.89,22.55,74.17,326.28
2006-12-03 02:30:10.836,1.35210702,-16.07713056,5.900602094791945,364.50300999999314,1.5701805930336166,-5.448494809268573,-0.20240801050604845,0.375,0.0,1.375,0.75,4.02,20.75333333,47.76,271.67
2006-12-03 02:46:26.833,1.54188423,-16.61935166,5.954824098633333,364.77412027775097,1.5864472265048968,-5.312939670389648,-0.41929623998407317,0.25,0.0,0.125,0.5,4.17,10.288,64.86,119.27
2006-12-03 03:21:06.829,1.70000005,-17.0,5.859241188661944,365.35189694444637,1.5648103210073439,-5.164810148380007,-0.7055690903960155,0.25,0.0,0.125,0.625,4.38,0.07733333,48.79,76.77
2006-12-03 04:12:34.821,1.70000005,-16.7903275,5.725803384651062,366.6290175000721,1.5398377870021234,-4.554851424566005,-0.6274257298761325,0.25,0.0,1.625,0.625,4.17,20.44066667,51.34,242.29
2006-12-03 04:27:14.819,1.70000005,-16.54588361,5.872469694661528,367.36234916668434,1.5862821398747582,-3.919297336814031,-0.30964867871515045,0.125,0.0,0.0,0.375,4.14,10.93133333,64.07,93.18
2006-12-03 05:03:46.814,1.41033003,-16.28967,6.250402932350044,369.1890116665045,1.7057510294291678,-2.153478611408405,0.33699611524796685,0.25,0.0,0.375,0.5,4.27,0.86266667,53.27,41.42
2006-12-03 05:55:30.807,0.72144249,-16.9785575,6.940179319048743,371.77567249991665,1.921306098880178,2.588732916513818,-0.5252241882522404,0.125,0.0,2.375,0.5,4.09,19.75066667,56.74,211.13
2006-12-03 06:09:22.805,0.69999999,-17.0,6.953099553504473,372.62533888902726,1.9321833099256875,2.2652267979383414,-0.8657690404965155,0.125,0.0,0.125,0.75,4.11,11.512,63.27,67.13
2006-12-03 06:49:22.800,0.69999999,-17.0,6.753099843020427,375.29200000006375,1.8988499983541152,-0.8681000393185894,-1.999099965003399,0.125,0.0,0.25,0.5,4.94,1.504,67.48,2.69
2006-12-03 07:38:42.793,0.69999999,-16.35477972,6.3128677041282915,373.4191188888677,1.7609559762880205,2.1067994989369327,-0.9450374016612308,0.25,0.0,0.0,0.375,4.1,11.902,62.47,41.11
2006-12-03 08:33:06.785,0.18301422,-14.89623056,6.541507787683876,369.2405763888272,1.783820436316012,3.2617958867300363,-0.751884749885965,0.125,0.0,0.0,0.375,4.42,1.074,61.74,207.85
2006-12-03 09:20:34.779,0.0,-13.31401167,6.865700711410496,367.3429941666741,1.8531401375137277,1.745412837405838,-1.3028982813307028,0.125,0.0,0.0,0.5,4.2,12.062,61.66,15.13
2006-12-03 10:14:26.771,0.0,-11.75923028,6.800000190734863,367.27769083335363,1.8327769198986268,0.5407697197853948,-1.1388454166768105,0.125,0.0,0.25,0.5,4.09,0.35333333,52.78,176.94
2006-12-03 11:02:10.765,0.01089708,-11.2807675,6.792735458113624,364.96367638885516,1.8078205281893034,1.3108970382578076,-0.0036323611686118256,0.125,0.0,0.0,0.25,4.25,11.91466667,59.96,124.23
2006-12-03 11:55:30.757,0.27756309,-11.96521028,6.614957870473747,364.0747897222183,1.754487379053598,1.5775631018269796,-0.09252102915683723,0.125,0.0,0.375,0.375,4.45,7.32066667,73.9,263.75
2006-12-03 12:08:18.756,0.30000001,-12.17409861,6.558436944264849,364.41563000005283,1.7430728399387134,1.6277086806026566,0.024689000383750326,0.375,0.0,1.25,0.625,4.71,0.14666667,50.12,150.34
2006-12-03 12:43:14.751,0.30000001,-12.76520834,6.383770860847783,366.1622924999707,1.713961826035869,1.7441528056201658,0.5486877581672881,0.25,0.0,0.5,0.625,4.1,19.67466667,64.47,100.91
