Hour,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
minute,"[ 5  5  6  6  6  6  7  7  7  8  8  8  8  9  9  9 42 42 42 42 43 43 43 44
 44 44 44 45 45]"
second,"[36.784 52.784  8.784 24.784 40.784 56.784 12.784 28.784 44.784  0.784
 16.784 32.783 48.783  4.783 20.783 36.783  8.779 24.779 40.779 56.779
 12.779 28.779 44.779  0.779 16.779 32.779 48.778  4.778 20.778]"
Kp,"[3.29999995 3.29999995 3.29999995 3.29999995 3.29999995 3.29999995
 3.29999995 3.29999995 3.29999995 3.29999995 3.29999995 3.29999995
 3.29999995 3.29999995 3.29999995 3.29999995 3.29999995 3.29999995
 3.29999995 3.29999995 3.29999995 3.29999995 3.29999995 3.29999995
 3.29999995 3.29999995 3.29999995 3.29999995 3.29999995]"
Dst,"[-38.18710222 -38.19599111 -38.20488    -38.21376889 -38.22265778
 -38.23154667 -38.24043556 -38.24932444 -38.25821333 -38.26710223
 -38.27599111 -38.28487944 -38.29376833 -38.30265722 -38.31154611
 -38.320435   -39.40487722 -39.41376611 -39.422655   -39.43154389
 -39.44043278 -39.44932167 -39.45821056 -39.46709944 -39.47598834
 -39.48487723 -39.49376556 -39.50265444 -39.51154333]"
dens,"[1.20000005 1.20000005 1.20000005 1.20000005 1.20000005 1.20000005
 1.20000005 1.20000005 1.20000005 1.20000005 1.20000005 1.20000005
 1.20000005 1.20000005 1.20000005 1.20000005 1.20000005 1.20000005
 1.20000005 1.20000005 1.20000005 1.20000005 1.20000005 1.20000005
 1.20000005 1.20000005 1.20000005 1.20000005 1.20000005]"
velo,"[673.15804    673.11803999 673.07804    673.03803999 672.99804001
 672.95804    672.91803999 672.87804001 672.83804    672.79803999
 672.75804    672.71804251 672.6780425  672.63804249 672.59804251
 672.5580425  667.67805249 667.63805251 667.5980525  667.55805249
 667.5180525  667.47805249 667.43805248 667.3980525  667.35805249
 667.31805248 667.27805499 667.238055   667.19805499]"
Pdyn,"[1.08719349 1.08706016 1.08692682 1.08679349 1.08666016 1.08652682
 1.08639349 1.08626016 1.08612682 1.08599349 1.08586015 1.08572683
 1.0855935  1.08546016 1.08532683 1.08519349 1.06892681 1.06879348
 1.06866014 1.06852681 1.06839348 1.06826014 1.06812681 1.06799348
 1.06786014 1.06772681 1.06759348 1.06746015 1.06732681]"
ByIMF,"[-1.59645731 -1.60579065 -1.61512398 -1.62445731 -1.63379064 -1.64312398
 -1.65245731 -1.66179064 -1.67112398 -1.68045732 -1.68979065 -1.69912339
 -1.70845673 -1.71779007 -1.7271234  -1.73645673 -2.87512108 -2.88445441
 -2.89378774 -2.90312108 -2.91245441 -2.92178774 -2.93112108 -2.94045441
 -2.94978775 -2.95912108 -2.96845383 -2.97778716 -2.9871205 ]"
BzIMF,"[-1.69418753 -1.68440975 -1.67463198 -1.6648542  -1.65507642 -1.64529864
 -1.63552086 -1.62574309 -1.61596531 -1.60618753 -1.59640976 -1.58663259
 -1.57685481 -1.56707703 -1.55729926 -1.54752148 -0.35463504 -0.34485726
 -0.33507948 -0.3253017  -0.31552393 -0.30574615 -0.29596837 -0.2861906
 -0.27641282 -0.26663504 -0.25685787 -0.2470801  -0.23730232]"
mep06,"[0.125 0.625 0.5   0.125 3.125 1.    1.125 3.5   2.625 3.875 4.625 4.375
 4.    2.25  2.    0.875 0.75  0.5   0.5   0.5   0.875 0.5   0.75  0.5
 0.125 1.5   0.375 0.875 0.75 ]"
mep05,"[0.    0.75  0.25  0.5   0.375 0.    0.625 0.125 0.    0.    0.125 0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.125
 0.5   0.375 0.25  0.125 0.   ]"
mep01,"[1.36750e+03 1.29550e+03 3.24550e+03 7.46350e+03 1.87675e+04 1.43035e+04
 5.90750e+03 3.57000e+02 2.29125e+02 6.28125e+01 1.32500e+01 9.87500e+00
 7.12500e+00 6.37500e+00 4.50000e+00 3.12500e+00 3.50000e+00 5.37500e+00
 6.25000e+00 7.50000e+00 8.25000e+00 1.20000e+01 2.18750e+02 5.08000e+02
 6.63000e+03 1.99675e+04 1.09995e+04 3.19050e+03 1.48150e+03]"
